date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:03	97971/97971	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:02%20GMT	https://haitacmanhnhat.vn/giftcode	./haitac_site/haitacmanhnhat.vn/giftcode.html	(from https://haitacmanhnhat.vn/)
19:41:03	8347120/8347120	---M--	200	added ('OK')	video/mp4	etag:%22f95e52102d482ce4ab4ab20862060b0c%22	https://cdn-ms.haitacmanhnhat.vn/st-ms/videos/mainsite/home-video-3.mp4	./haitac_site/cdn-ms.haitacmanhnhat.vn/st-ms/videos/mainsite/home-video-3.mp4	(from https://haitacmanhnhat.vn/)
19:41:03	5464/5464	---M--	200	added ('OK')	image/png	etag:%2257b7d4c3b7783df86e14ff4cfd161d4f%22	https://haitacmanhnhat.vn/st-ms//imgs/page2/title-2.png	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/page2/title-2.png	(from https://haitacmanhnhat.vn/)
19:41:05	31734/31734	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:04%20GMT	https://haitacmanhnhat.vn/tin-tuc/10h-11-10-khai-mo-may-chu-s32-177.html	./haitac_site/haitacmanhnhat.vn/tin-tuc/10h-11-10-khai-mo-may-chu-s32-177.html	(from https://haitacmanhnhat.vn/)
19:41:06	283626/283626	---M--	200	added ('OK')	image/jpeg	etag:%2223aa5bf2039a65a666ae3e785cc8ec9a%22	https://haitacmanhnhat.vn/st-ms//files/uploads/images/Banner/Mainsite%20PC%20527x465/527x465(71).jpg	./haitac_site/haitacmanhnhat.vn/st-ms/files/uploads/images/Banner/Mainsite%20PC%20527x465/527x465(71).jpg	(from https://haitacmanhnhat.vn/)
19:41:08	46899/46899	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:07%20GMT	https://haitacmanhnhat.vn/tin-tuc/su-kien-tuan-2-thang-10-2025-195.html	./haitac_site/haitacmanhnhat.vn/tin-tuc/su-kien-tuan-2-thang-10-2025-195.html	(from https://haitacmanhnhat.vn/)
19:41:08	560492/560492	---M--	200	added ('OK')	image/png	etag:%22f3889a067fbc17c5a3ded582659ad7e2%22	https://haitacmanhnhat.vn/st-ms/imgs/page2/slides/slide.png	./haitac_site/haitacmanhnhat.vn/st-ms/imgs/page2/slides/slide.png	(from https://haitacmanhnhat.vn/)
19:41:09	244370/244370	---M--	200	added ('OK')	image/jpeg	etag:%22f744857161e59eaff5361616e98596fb%22	https://haitacmanhnhat.vn/st-ms//files/uploads/images/Banner/Mainsite%20PC%20527x465/527x465(73).jpg	./haitac_site/haitacmanhnhat.vn/st-ms/files/uploads/images/Banner/Mainsite%20PC%20527x465/527x465(73).jpg	(from https://haitacmanhnhat.vn/)
19:41:10	38120/38120	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Oct%202025%2012:41:09%20GMT	https://haitacmanhnhat.vn/tin-tuc/vuong-gia-chien-lan-2-197.html	./haitac_site/haitacmanhnhat.vn/tin-tuc/vuong-gia-chien-lan-2-197.html	(from https://haitacmanhnhat.vn/)
19:41:11	274058/274058	---M--	200	added ('OK')	image/jpeg	etag:%22bbe007e692f1b9c6c343be62b99d52a7%22	https://haitacmanhnhat.vn/st-ms//files/uploads/images/Banner/Mainsite%20PC%20527x465/527x465(74).jpg	./haitac_site/haitacmanhnhat.vn/st-ms/files/uploads/images/Banner/Mainsite%20PC%20527x465/527x465(74).jpg	(from https://haitacmanhnhat.vn/)
